Running strategy bcrp on dataset djia.
Start Time: 2015-0129-17-01-35-592.
-------------------------------------
Parameters [tc:0.000000]
day	 Daily Return	 Total return
1	0.992321	0.992321
2	1.020979	1.013139
3	1.004566	1.017764
4	1.024085	1.042277
5	1.003311	1.045728
6	1.010932	1.057161
7	0.978710	1.034653
8	0.997426	1.031990
9	0.991957	1.023690
10	1.032240	1.056694
11	1.048608	1.108057
12	0.989143	1.096027
13	1.002459	1.098722
14	1.019323	1.119952
15	0.992636	1.111705
16	1.015884	1.129363
17	0.992633	1.121043
18	1.010841	1.133196
19	0.986642	1.118059
20	1.021890	1.142533
21	0.987984	1.128805
22	1.010378	1.140520
23	1.003426	1.144428
24	1.024996	1.173034
25	0.978472	1.147780
26	0.974528	1.118544
27	1.002277	1.121092
28	0.990735	1.110704
29	0.996066	1.106335
30	1.002190	1.108758
31	0.991300	1.099112
32	0.993017	1.091437
33	1.009469	1.101772
34	0.986547	1.086950
35	1.008803	1.096518
36	1.010101	1.107594
37	0.996925	1.104188
38	0.998015	1.101996
39	0.997795	1.099567
40	0.981000	1.078675
41	1.008190	1.087509
42	1.010675	1.099119
43	1.005398	1.105052
44	1.004022	1.109497
45	0.967077	1.072969
46	0.948936	1.018178
47	1.020992	1.039552
48	0.989530	1.028669
49	0.989305	1.017667
50	1.005071	1.022828
51	1.003349	1.026254
52	0.982279	1.008067
53	0.954594	0.962295
54	1.040264	1.001041
55	1.012967	1.014021
56	0.991390	1.005290
57	1.025819	1.031246
58	0.980848	1.011495
59	0.997993	1.009465
60	0.998751	1.008204
61	1.005481	1.013730
62	0.972320	0.985670
63	0.986068	0.971938
64	1.055899	1.026268
65	0.998172	1.024392
66	1.003645	1.028126
67	1.016176	1.044758
68	1.002614	1.047489
69	1.018037	1.066383
70	0.992945	1.058859
71	0.999861	1.058711
72	1.033192	1.093852
73	1.027550	1.123987
74	1.001054	1.125172
75	0.994163	1.118605
76	0.988024	1.105209
77	1.024341	1.132110
78	1.002436	1.134869
79	0.992629	1.126503
80	1.007931	1.135437
81	1.040982	1.181970
82	0.997919	1.179510
83	0.990092	1.167824
84	1.018712	1.189677
85	1.007104	1.198128
86	1.004066	1.203000
87	0.996583	1.198888
88	0.993698	1.191333
89	0.993891	1.184054
90	0.998355	1.182107
91	0.995049	1.176254
92	1.022288	1.202470
93	0.988634	1.188802
94	1.001430	1.190503
95	0.994462	1.183909
96	1.003041	1.187510
97	0.994344	1.180794
98	1.015116	1.198643
99	0.990051	1.186717
100	1.001702	1.188737
101	0.989516	1.176274
102	0.999060	1.175169
103	1.006964	1.183353
104	1.007202	1.191875
105	1.019186	1.214742
106	1.002548	1.217838
107	1.010770	1.230953
108	0.991796	1.220854
109	0.991643	1.210651
110	1.005984	1.217896
111	0.986603	1.201580
112	0.986842	1.185769
113	0.985826	1.168962
114	0.988875	1.155957
115	1.008589	1.165886
116	1.018051	1.186931
117	1.000517	1.187544
118	0.995186	1.181827
119	0.995379	1.176366
120	1.013680	1.192458
121	1.003979	1.197203
122	1.017782	1.218492
123	0.995828	1.213408
124	0.989873	1.201119
125	0.999199	1.200158
126	0.984595	1.181670
127	0.981885	1.160263
128	1.007937	1.169472
129	0.995582	1.164306
130	1.027666	1.196518
131	1.038500	1.242583
132	0.995925	1.237520
133	1.005510	1.244339
134	1.011766	1.258979
135	0.986072	1.241444
136	1.010675	1.254696
137	0.974845	1.223134
138	0.980149	1.198854
139	0.992665	1.190060
140	1.018011	1.211495
141	0.999013	1.210299
142	0.988251	1.196079
143	1.005199	1.202298
144	1.006303	1.209876
145	1.003477	1.214082
146	1.005799	1.221123
147	0.991328	1.210534
148	0.995734	1.205370
