Running strategy best on dataset djia.
Start Time: 2015-0129-17-01-35-552.
-------------------------------------
Parameters [tc:0.000000]
day	 Daily Return	 Total return
1	1.010430	1.010430
2	1.014244	1.024823
3	0.996133	1.020859
4	1.058643	1.080726
5	1.020652	1.103045
6	1.040091	1.147267
7	0.972727	1.115978
8	0.982430	1.096370
9	1.007230	1.104297
10	1.048357	1.157697
11	1.099099	1.272424
12	0.985738	1.254276
13	1.007151	1.263246
14	1.039300	1.312891
15	0.982046	1.289320
16	1.035431	1.335002
17	1.007813	1.345432
18	0.982636	1.322069
19	0.963395	1.273675
20	1.021618	1.301210
21	0.974832	1.268461
22	1.018582	1.292032
23	1.010010	1.304965
24	1.034047	1.349395
25	0.962282	1.298498
26	0.949880	1.233417
27	0.993573	1.225490
28	0.990468	1.213809
29	1.003265	1.217772
30	1.007366	1.226742
31	0.974494	1.195453
32	0.975048	1.165624
33	1.006621	1.173342
34	0.981156	1.151231
35	1.028266	1.183771
36	1.049515	1.242386
37	0.996978	1.238632
38	0.993601	1.230705
39	1.006102	1.238214
40	0.955020	1.182520
41	1.013230	1.198164
42	1.034819	1.239883
43	1.021030	1.265957
44	0.976273	1.235920
45	0.956793	1.182520
46	0.916211	1.083438
47	1.043319	1.130371
48	0.996494	1.126408
49	0.994259	1.119942
50	1.016204	1.138089
51	0.995418	1.132874
52	0.970171	1.099082
53	0.950085	1.044222
54	1.078706	1.126408
55	1.047407	1.179808
56	0.991160	1.169378
57	1.039065	1.215060
58	0.953820	1.158949
59	0.996760	1.155194
60	0.987541	1.140801
61	1.020479	1.164164
62	0.956459	1.113475
63	0.973024	1.083438
64	1.092607	1.183771
65	0.990132	1.172090
66	1.017085	1.192115
67	1.044269	1.244889
68	1.006032	1.252399
69	1.035643	1.297038
70	0.977646	1.268043
71	1.011351	1.282436
72	1.064249	1.364831
73	1.039890	1.419274
74	1.014109	1.439299
75	0.989130	1.423655
76	0.989744	1.409053
77	1.031680	1.453692
78	0.991964	1.442011
79	0.970924	1.400083
80	1.009386	1.413225
81	1.035720	1.463705
82	0.994157	1.455152
83	0.982368	1.429495
84	1.032395	1.475803
85	1.008905	1.488945
86	1.009526	1.503129
87	0.976964	1.468502
88	0.994318	1.460159
89	0.991429	1.447643
90	0.990202	1.433458
91	0.993452	1.424072
92	1.013036	1.442637
93	0.985685	1.421986
94	0.998826	1.420317
95	1.010281	1.434919
96	1.022096	1.466625
97	0.991324	1.453901
98	1.028981	1.496037
99	0.988706	1.479141
100	0.991962	1.467251
101	0.983651	1.443262
102	0.999855	1.443054
103	1.016768	1.467251
104	1.006255	1.476429
105	1.025713	1.514393
106	0.996694	1.509387
107	1.018242	1.536921
108	0.993350	1.526700
109	0.985381	1.504380
110	0.999445	1.503546
111	0.980716	1.474552
112	0.974678	1.437213
113	0.987228	1.418857
114	0.983240	1.395077
115	1.006579	1.404255
116	1.031046	1.447851
117	1.006195	1.456821
118	0.985538	1.435753
119	1.000291	1.436170
120	1.018736	1.463079
121	1.014257	1.483938
122	1.022491	1.517313
123	1.003574	1.522737
124	0.967123	1.472674
125	0.998159	1.469962
126	0.972187	1.429078
127	0.964239	1.377972
128	0.994399	1.370254
129	0.981580	1.345015
130	1.031328	1.387151
131	1.076692	1.493534
132	0.996369	1.488110
133	0.997757	1.484773
134	1.008991	1.498123
135	0.982595	1.472048
136	1.028341	1.513767
137	0.953286	1.443054
138	0.969789	1.399458
139	0.988523	1.383396
140	1.017491	1.407593
141	0.986811	1.389028
142	0.983181	1.365665
143	1.005040	1.372549
144	1.005927	1.380684
145	1.004230	1.386525
146	1.014743	1.406967
147	0.991698	1.395286
148	0.988638	1.379433
149	1.003327	1.384022
150	0.977543	1.352941
151	1.002313	1.356070
152	1.007845	1.366708
153	1.004731	1.373175
154	0.982683	1.349395
155	0.976967	1.318315
156	1.022468	1.347935
157	0.957598	1.290780
158	1.013251	1.307885
159	0.969378	1.267835
160	0.998026	1.265332
161	0.974613	1.233208
162	1.049560	1.294326
163	1.004190	1.299750
164	0.974803	1.267000
165	0.991933	1.256779
166	0.945062	1.187735
167	1.001932	1.190029
168	0.983348	1.170213
169	1.029234	1.204422
170	0.970211	1.168544
171	0.988933	1.155611
172	1.039350	1.201085
173	0.918895	1.103671
174	1.026649	1.133083
175	0.991716	1.123696
176	0.942268	1.058824
177	0.979314	1.036921
178	1.046268	1.084898
179	0.986349	1.070088
180	0.979922	1.048602
181	0.993833	1.042136
182	1.024219	1.067376
183	1.012116	1.080309
184	1.024329	1.106592
185	1.059943	1.172924
186	1.003735	1.177305
187	1.022679	1.204005
188	1.005544	1.210680
189	0.940041	1.138089
190	1.017412	1.157906
191	1.014592	1.174802
192	1.001065	1.176053
193	1.029798	1.211097
194	1.006717	1.219232
195	0.958597	1.168753
196	1.012850	1.183771
197	1.020264	1.207760
198	1.039033	1.254902
199	1.004488	1.260534
200	1.014728	1.279099
201	1.020222	1.304965
202	0.994246	1.297455
203	0.958842	1.244055
204	0.987257	1.228202
205	0.987602	1.212975
206	1.063457	1.289946
207	0.992885	1.280768
208	1.030456	1.319775
209	1.023866	1.351272
210	0.991818	1.340217
211	1.002646	1.343763
212	1.012263	1.360242
213	1.008894	1.372340
214	1.032072	1.416354
215	0.971281	1.375678
216	1.002578	1.379224
217	0.994404	1.371506
218	1.012015	1.387985
219	0.982867	1.364205
220	0.979358	1.336045
221	1.010461	1.350021
222	1.006489	1.358782
223	0.978508	1.329579
224	0.985253	1.309971
225	1.032484	1.352524
226	0.990284	1.339383
227	1.008721	1.351064
228	1.018990	1.376721
229	1.031818	1.420526
230	1.008076	1.431998
231	0.988055	1.414894
232	0.988648	1.398832
233	1.003877	1.404255
234	1.009358	1.417397
235	0.975276	1.382353
236	1.017655	1.406758
237	1.022835	1.438882
238	1.004204	1.444931
239	1.003176	1.449520
240	0.960714	1.392574
241	1.011684	1.408844
242	0.996002	1.403212
243	1.006095	1.411765
244	1.002512	1.415311
245	1.000295	1.415728
246	0.976131	1.381936
247	1.011925	1.398415
248	1.032667	1.444097
249	0.995233	1.437213
250	0.995065	1.430121
251	1.011960	1.447226
252	0.990343	1.433250
253	1.008296	1.445140
254	0.990329	1.431164
255	0.997959	1.428244
256	1.015773	1.450772
257	0.975845	1.415728
258	1.029321	1.457238
259	0.946178	1.378807
260	0.975189	1.344597
261	0.988830	1.329579
262	1.013492	1.347518
263	0.987616	1.330830
264	1.000313	1.331247
265	0.976496	1.299958
266	1.008504	1.311014
267	1.013683	1.328953
268	0.983519	1.307050
269	0.975423	1.274927
270	1.000491	1.275553
271	0.987735	1.259908
272	0.990066	1.247393
273	1.014214	1.265123
274	1.007914	1.275136
275	0.983805	1.254485
276	1.027935	1.289529
277	0.997735	1.286608
278	0.976492	1.256362
279	0.978416	1.229245
280	1.016460	1.249479
281	0.969115	1.210889
282	0.998966	1.209637
283	1.018796	1.232374
284	0.991029	1.221318
285	0.997267	1.217981
286	0.999144	1.216938
287	1.051937	1.280142
288	1.031449	1.320401
289	0.996524	1.315811
290	1.008719	1.327284
291	0.985699	1.308302
292	1.019611	1.333959
293	1.006099	1.342094
294	0.972024	1.304547
295	0.992965	1.295369
296	0.985829	1.277013
297	1.020745	1.303504
298	0.994399	1.296204
299	1.001448	1.298081
300	0.965772	1.253650
301	1.020965	1.279933
302	0.985169	1.260951
303	0.979818	1.235503
304	0.997467	1.232374
305	1.006093	1.239883
306	1.014637	1.258031
307	1.001161	1.259491
308	0.948990	1.195244
309	0.983072	1.175010
310	1.002130	1.177514
311	0.989725	1.165415
312	1.024163	1.193575
313	0.958930	1.144556
314	1.026062	1.174385
315	0.973179	1.142887
316	1.020807	1.166667
317	0.995709	1.161660
318	1.038068	1.205882
319	0.979588	1.181268
320	0.995409	1.175845
321	1.014724	1.193158
322	0.971853	1.159574
323	0.971218	1.126199
324	0.982034	1.105966
325	1.013391	1.120776
326	0.958496	1.074259
327	1.014369	1.089695
328	1.000383	1.090113
329	1.009376	1.100334
330	0.970806	1.068210
331	0.967780	1.033792
332	0.981033	1.014184
333	1.017483	1.031915
334	1.111178	1.146642
335	0.948154	1.087192
336	0.960284	1.044013
337	1.052747	1.099082
338	1.041564	1.144764
339	0.997631	1.142053
340	1.018082	1.162703
341	1.005203	1.168753
342	0.963948	1.126617
343	0.966303	1.088652
344	1.028741	1.119942
345	1.021047	1.143513
346	0.971543	1.110972
347	0.982351	1.091364
348	0.994839	1.085732
349	1.011335	1.098039
350	0.967135	1.061952
351	0.970733	1.030872
352	1.011331	1.042553
353	1.033613	1.077597
354	1.004646	1.082603
355	1.001541	1.084272
356	1.016160	1.101794
357	0.995267	1.096579
358	1.056496	1.158531
