Running strategy cwmr_stdev on dataset djia.
Start Time: 2015-0129-17-01-54-464.
CWMR-Stdev(2.00, 0.50, 0.0000)
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.981832	0.984400
3	1.024486	1.008504
4	0.968570	0.976807
5	1.004230	0.980938
6	0.985785	0.966994
7	1.013531	0.980079
8	1.008551	0.988459
9	0.999867	0.988328
10	0.986173	0.974663
11	0.940913	0.917073
12	1.067073	0.978584
13	1.022780	1.000875
14	1.009917	1.010801
15	0.960770	0.971148
16	0.981055	0.952750
17	1.013419	0.965534
18	1.033612	0.997988
19	1.002923	1.000905
20	1.020730	1.021654
21	1.003307	1.025033
22	0.984528	1.009173
23	1.021620	1.030992
24	0.998769	1.029722
25	0.997086	1.026721
26	0.976303	1.002391
27	1.013133	1.015555
28	1.011181	1.026911
29	1.052096	1.080409
30	1.009956	1.091165
31	0.991713	1.082122
32	0.920616	0.996219
33	0.983607	0.979887
34	0.981831	0.962083
35	0.987335	0.949899
36	1.012045	0.961340
37	0.991042	0.952729
38	1.007652	0.960019
39	0.958239	0.919928
40	1.023516	0.941561
41	1.014826	0.955521
42	0.993775	0.949573
43	0.985904	0.936187
44	1.012431	0.947824
45	0.956604	0.906692
46	0.941278	0.853449
47	1.060489	0.905073
48	0.989557	0.895622
49	1.034167	0.926223
50	0.969328	0.897814
51	1.077033	0.966975
52	0.920465	0.890066
53	1.037759	0.923674
54	0.992016	0.916299
55	1.051286	0.963292
56	1.023557	0.985985
57	0.996937	0.982965
58	1.036272	1.018619
59	0.989718	1.008145
60	1.007897	1.016106
61	0.991378	1.007345
62	0.948061	0.955025
63	0.991945	0.947332
64	1.132567	1.072917
65	1.000573	1.073532
66	0.986203	1.058720
67	1.038967	1.099975
68	0.999060	1.098942
69	1.001337	1.100411
70	1.003731	1.104516
71	0.990114	1.093597
72	1.105564	1.209041
73	1.005110	1.215220
74	0.972510	1.181814
75	1.008694	1.192089
76	0.960996	1.145593
77	1.013251	1.160772
78	0.989230	1.148270
79	1.015748	1.166353
80	1.008885	1.176716
81	1.018016	1.197916
82	0.999958	1.197866
83	0.987921	1.183398
84	1.015458	1.201690
85	1.002455	1.204640
86	0.973681	1.172935
87	1.002301	1.175634
88	0.969262	1.139497
89	0.963116	1.097468
90	0.981031	1.076650
91	0.992339	1.068401
92	0.993269	1.061210
93	1.002130	1.063470
94	1.007616	1.071570
95	1.029493	1.103174
96	0.982650	1.084034
97	0.993172	1.076632
98	0.995751	1.072057
99	0.996723	1.068544
100	0.997329	1.065690
101	0.965140	1.028539
102	1.015503	1.044485
103	0.991624	1.035736
104	0.989701	1.025069
105	1.006158	1.031381
106	0.965773	0.996081
107	0.990234	0.986353
108	0.976145	0.962823
109	0.974782	0.938543
110	0.960663	0.901624
111	0.972165	0.876527
112	0.905458	0.793658
113	1.043127	0.827886
114	0.996928	0.825342
115	0.994123	0.820492
116	0.986627	0.809519
117	0.985834	0.798052
118	0.988523	0.788893
119	0.995575	0.785402
120	0.994779	0.781302
121	0.993235	0.776016
122	1.026490	0.796573
123	0.987959	0.786981
124	0.977364	0.769167
125	1.026214	0.789330
126	0.983958	0.776668
127	0.964979	0.749468
128	1.002228	0.751138
129	0.995721	0.747924
130	1.011088	0.756217
131	1.028380	0.777678
132	1.002778	0.779839
133	0.994697	0.775703
134	1.006533	0.780771
135	1.002466	0.782696
136	1.006145	0.787506
137	1.007572	0.793469
138	0.969789	0.769497
139	0.979968	0.754083
140	1.049154	0.791149
141	0.982868	0.777595
142	1.012917	0.787639
143	1.001799	0.789056
144	1.006012	0.793800
145	0.997241	0.791610
146	0.997418	0.789566
147	0.999042	0.788809
148	0.990862	0.781601
149	1.011229	0.790377
150	0.987703	0.780658
151	1.001047	0.781475
152	1.014086	0.792483
153	0.984481	0.780184
154	1.003065	0.782575
155	0.978107	0.765442
156	1.015933	0.777638
157	0.979622	0.761791
158	1.004631	0.765319
159	0.994643	0.761220
160	1.025135	0.780353
161	0.995867	0.777128
162	1.007558	0.783001
163	0.992812	0.777373
164	1.004453	0.780835
165	0.986670	0.770426
166	0.977971	0.753454
167	1.001932	0.754910
168	1.005772	0.759267
169	0.967039	0.734241
170	0.972512	0.714058
171	0.964036	0.688378
172	0.976833	0.672431
173	0.854902	0.574863
174	0.962949	0.553563
175	0.973365	0.538819
176	0.931191	0.501743
177	1.017530	0.510539
178	1.042598	0.532287
179	0.994812	0.529526
180	0.994310	0.526513
181	0.964490	0.507816
182	1.053892	0.535183
183	0.974832	0.521714
184	1.057099	0.551503
185	1.067235	0.588583
186	0.992029	0.583892
187	1.014444	0.592326
188	1.000842	0.592824
189	1.041036	0.617151
190	1.020881	0.630038
191	1.011358	0.637194
192	0.983046	0.626391
193	0.992867	0.621924
194	1.000390	0.622166
195	0.972764	0.605221
196	0.990189	0.599283
197	0.993063	0.595126
198	1.022598	0.608574
199	0.936715	0.570060
200	1.011088	0.576381
201	1.008298	0.581164
202	1.008699	0.586220
203	0.977337	0.572934
204	0.978667	0.560712
205	0.919784	0.515734
206	1.048103	0.540542
207	1.039452	0.561868
208	1.055984	0.593323
209	1.004911	0.596237
210	0.990980	0.590858
211	0.996817	0.588978
212	1.034407	0.609243
213	0.994585	0.605944
214	1.037690	0.628782
215	1.002559	0.630391
216	0.977436	0.616166
217	1.009411	0.621965
218	1.028263	0.639544
219	1.014330	0.648708
220	1.023468	0.663932
221	1.026887	0.681784
222	0.984648	0.671317
223	0.980539	0.658253
224	1.010381	0.665086
225	1.013528	0.674083
226	0.995326	0.670933
227	0.967538	0.649153
228	1.011647	0.656714
229	0.986896	0.648108
230	0.989938	0.641587
231	1.019320	0.653982
232	0.993479	0.649717
233	0.985207	0.640106
234	0.964086	0.617117
235	0.990089	0.611001
236	1.019786	0.623090
237	0.999991	0.623084
238	1.014839	0.632331
239	1.007158	0.636857
