Running strategy cwmr_var on dataset djia.
Start Time: 2015-0129-17-01-54-334.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.981832	0.984400
3	1.024486	1.008504
4	0.968559	0.976796
5	1.004212	0.980910
6	0.985775	0.966957
7	1.013502	0.980012
8	1.008539	0.988381
9	0.999885	0.988268
10	0.986177	0.974607
11	0.940917	0.917025
12	1.067073	0.978533
13	1.022757	1.000801
14	1.009903	1.010711
15	0.960802	0.971093
16	0.981055	0.952696
17	1.013410	0.965472
18	1.033631	0.997941
19	1.002963	1.000898
20	1.020728	1.021645
21	1.003310	1.025026
22	0.984544	1.009184
23	1.021620	1.031003
24	0.998772	1.029736
25	0.997087	1.026736
26	0.976312	1.002415
27	1.013157	1.015604
28	1.011189	1.026968
29	1.052096	1.080469
30	1.009951	1.091221
31	0.991721	1.082187
32	0.920616	0.996278
33	0.983607	0.979946
34	0.981732	0.962045
35	0.987368	0.949892
36	1.012049	0.961338
37	0.991031	0.952715
38	1.007599	0.959955
39	0.958223	0.919851
40	1.023516	0.941483
41	1.014840	0.955454
42	0.993785	0.949516
43	0.985887	0.936116
44	1.012441	0.947762
45	0.956604	0.906633
46	0.941261	0.853378
47	1.060469	0.904980
48	0.989552	0.895525
49	1.034168	0.926123
50	0.969331	0.897720
51	1.077024	0.966866
52	0.920478	0.889979
53	1.037759	0.923583
54	0.992073	0.916262
55	1.051306	0.963272
56	1.023493	0.985902
57	0.996932	0.982877
58	1.036272	1.018528
59	0.989702	1.008040
60	1.007912	1.016015
61	0.991374	1.007251
62	0.948061	0.954935
63	0.991937	0.947236
64	1.132567	1.072808
65	1.000578	1.073428
66	0.986150	1.058561
67	1.038914	1.099754
68	0.999042	1.098700
69	1.001338	1.100170
70	1.003713	1.104255
71	0.990114	1.093338
72	1.105459	1.208641
73	1.005122	1.214831
74	0.972660	1.181617
75	1.008694	1.191891
76	0.960979	1.145382
77	1.013273	1.160585
78	0.989239	1.148096
79	1.015748	1.166176
80	1.008893	1.176547
81	1.018018	1.197746
82	0.999947	1.197682
83	0.987917	1.183211
84	1.015460	1.201503
85	1.002456	1.204454
86	0.973678	1.172750
87	1.002300	1.175447
88	0.969262	1.139315
89	0.963116	1.097293
90	0.981031	1.076478
91	0.992339	1.068231
92	0.993269	1.061041
93	1.002130	1.063300
94	1.007615	1.071398
95	1.029554	1.103061
96	0.982650	1.083924
97	0.993176	1.076527
98	0.995740	1.071942
99	0.996723	1.068429
100	0.997327	1.065573
101	0.965138	1.028425
102	1.015504	1.044370
103	0.991628	1.035626
104	0.989706	1.024965
105	1.006158	1.031277
106	0.965773	0.995979
107	0.990243	0.986262
108	0.976148	0.962738
109	0.974785	0.938462
110	0.960663	0.901546
111	0.972165	0.876451
112	0.905470	0.793600
113	1.043127	0.827825
114	0.996880	0.825242
115	0.994122	0.820392
116	0.986640	0.809431
117	0.985813	0.797948
118	0.988517	0.788785
119	0.995575	0.785295
120	0.994776	0.781193
121	0.993235	0.775908
122	1.026490	0.796462
123	0.987959	0.786872
124	0.977364	0.769060
125	1.026169	0.789185
126	0.983961	0.776528
127	0.964974	0.749329
128	1.002222	0.750994
129	0.995724	0.747782
130	1.011094	0.756078
131	1.028404	0.777554
132	1.002791	0.779724
133	0.994757	0.775636
134	1.006526	0.780697
135	1.002430	0.782594
136	1.006153	0.787410
137	1.007578	0.793377
138	0.969789	0.769408
139	0.979962	0.753991
140	1.049154	0.791052
141	0.982871	0.777503
142	1.012917	0.787545
143	1.001794	0.788958
144	1.006006	0.793697
145	0.997237	0.791504
146	0.997418	0.789461
147	0.999047	0.788708
148	0.990863	0.781502
149	1.011229	0.790277
150	0.987704	0.780559
151	1.001047	0.781377
152	1.014084	0.792382
153	0.984482	0.780085
154	1.003065	0.782476
155	0.978107	0.765345
156	1.015933	0.777539
157	0.979626	0.761698
158	1.004631	0.765226
159	0.994643	0.761126
160	1.025144	0.780264
161	0.995872	0.777043
162	1.007558	0.782916
163	0.992809	0.777286
164	1.004453	0.780748
165	0.986670	0.770341
166	0.977971	0.753371
167	1.001932	0.754826
168	1.005772	0.759183
169	0.967039	0.734159
170	0.972512	0.713979
171	0.964085	0.688336
172	0.976825	0.672384
173	0.854932	0.574843
174	0.962958	0.553550
175	0.973397	0.538824
176	0.930898	0.501590
177	1.017787	0.510512
178	1.042684	0.532303
179	0.994852	0.529563
180	0.994198	0.526490
181	0.964524	0.507812
182	1.053892	0.535179
183	0.974870	0.521730
184	1.057099	0.551520
185	1.067242	0.588606
186	0.992027	0.583913
187	1.014372	0.592305
188	1.000837	0.592801
189	1.041060	0.617141
190	1.020885	0.630030
191	1.011356	0.637185
192	0.983052	0.626386
193	0.992855	0.621910
194	1.000390	0.622153
195	0.972760	0.605205
196	0.990183	0.599264
197	0.993052	0.595100
198	1.022602	0.608551
199	0.936715	0.570038
200	1.011088	0.576359
201	1.008319	0.581154
202	1.008720	0.586222
203	0.977333	0.572934
204	0.978667	0.560711
205	0.919784	0.515733
206	1.048103	0.540542
207	1.039420	0.561850
208	1.055984	0.593304
209	1.004913	0.596219
210	0.990981	0.590842
211	0.996536	0.588795
212	1.034407	0.609054
213	0.994585	0.605756
214	1.037689	0.628587
215	1.002559	0.630195
216	0.977440	0.615978
217	1.009411	0.621775
218	1.028297	0.639369
219	1.014358	0.648549
220	1.023468	0.663769
221	1.026887	0.681616
222	0.984648	0.671152
223	0.980542	0.658093
224	1.010381	0.664925
225	1.013529	0.673920
226	0.995327	0.670771
227	0.967527	0.648990
228	1.011647	0.656548
229	0.986897	0.647945
230	0.989936	0.641424
231	1.019319	0.653816
232	0.993484	0.649556
233	0.985207	0.639947
234	0.964086	0.616964
235	0.990089	0.610849
236	1.019786	0.622935
237	0.999989	0.622928
238	1.014838	0.632171
239	1.007158	0.636696
240	0.986998	0.628418
241	0.995301	0.625465
