Running strategy eg on dataset djia.
Start Time: 2015-0129-17-01-37-446.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.973490	0.976036
3	0.994871	0.971030
4	0.998772	0.969838
5	1.005780	0.975444
6	1.001518	0.976925
7	0.993424	0.970500
8	1.012652	0.982779
9	0.995667	0.978521
10	1.006877	0.985250
11	0.989708	0.975110
12	0.999197	0.974327
13	1.007161	0.981304
14	1.001803	0.983073
15	1.004753	0.987745
16	0.992122	0.979963
17	1.007503	0.987316
18	1.017542	1.004636
19	1.000611	1.005250
20	1.009347	1.014646
21	0.988525	1.003004
22	1.008876	1.011906
23	0.999286	1.011184
24	0.996150	1.007291
25	0.993895	1.001142
26	0.989677	0.990807
27	1.015330	1.005996
28	0.995179	1.001147
29	0.990478	0.991614
30	1.011928	1.003442
31	0.989210	0.992615
32	0.990518	0.983203
33	0.979297	0.962848
34	1.001601	0.964390
35	0.993126	0.957761
36	1.022510	0.979320
37	0.999956	0.979277
38	0.986243	0.965805
39	0.993745	0.959764
40	1.002615	0.962275
41	1.010458	0.972338
42	1.005618	0.977801
43	1.015497	0.992954
44	1.010259	1.003141
45	0.978568	0.981642
46	0.957079	0.939509
47	1.013241	0.951949
48	0.967002	0.920536
49	1.006333	0.926366
50	0.980651	0.908442
51	1.014519	0.921631
52	0.974454	0.898087
53	0.977184	0.877597
54	0.990743	0.869473
55	1.013848	0.881514
56	1.019883	0.899040
57	1.028621	0.924772
58	0.981294	0.907473
59	1.002100	0.909379
60	1.007591	0.916282
61	0.989110	0.906304
62	0.968317	0.877590
63	1.001332	0.878758
64	1.045634	0.918859
65	0.982491	0.902771
66	1.005309	0.907564
67	1.029765	0.934577
68	0.994688	0.929613
69	1.011847	0.940626
70	1.000870	0.941445
71	1.004473	0.945656
72	1.043592	0.986879
73	1.007303	0.994086
74	0.989449	0.983597
75	0.991654	0.975388
76	0.990254	0.965882
77	1.016609	0.981925
78	1.007106	0.988902
79	1.011855	1.000626
80	0.992219	0.992841
81	1.016366	1.009090
82	0.999998	1.009088
83	0.990269	0.999268
84	1.013400	1.012659
85	0.998992	1.011637
86	0.993926	1.005493
87	0.997010	1.002486
88	1.005176	1.007675
89	0.992396	1.000013
90	1.003929	1.003942
91	0.999225	1.003164
92	1.032743	1.036010
93	1.006839	1.043095
94	1.004018	1.047287
95	1.005809	1.053371
96	0.993534	1.046559
97	0.985071	1.030936
98	1.002270	1.033276
99	0.989190	1.022106
100	1.003112	1.025287
101	0.983728	1.008604
102	1.004608	1.013252
103	1.007364	1.020713
104	1.004655	1.025464
105	1.009307	1.035009
106	0.989860	1.024514
107	1.002563	1.027139
108	0.989975	1.016842
109	0.994140	1.010883
110	1.000487	1.011375
111	0.991841	1.003124
112	0.980859	0.983923
113	0.995103	0.979105
114	0.999250	0.978370
115	0.995128	0.973604
116	1.007665	0.981066
117	1.009617	0.990501
118	0.989389	0.979991
119	0.991072	0.971242
120	0.996043	0.967398
121	0.996582	0.964092
122	1.014510	0.978081
123	0.995899	0.974070
124	1.009497	0.983321
125	0.997573	0.980934
126	0.991640	0.972734
127	0.978049	0.951381
128	1.008334	0.959311
129	0.990481	0.950178
130	1.006665	0.956511
131	1.024761	0.980195
132	1.006852	0.986912
133	0.991640	0.978661
134	1.012724	0.991114
135	0.997572	0.988707
136	1.004455	0.993112
137	0.997156	0.990288
138	0.984993	0.975426
139	0.982745	0.958595
140	1.016910	0.974805
141	1.004002	0.978706
142	0.996698	0.975475
143	0.998247	0.973765
144	1.011326	0.984794
145	0.999994	0.984788
146	1.003928	0.988656
147	0.995754	0.984458
148	0.989722	0.974340
149	1.005210	0.979417
150	0.984521	0.964256
151	1.000278	0.964524
152	1.010434	0.974588
153	0.999708	0.974304
154	0.999901	0.974207
155	0.993731	0.968100
156	1.004035	0.972007
157	0.985114	0.957537
158	1.009335	0.966475
159	0.986072	0.953015
160	1.009174	0.961758
161	0.996745	0.958627
162	1.019444	0.977267
163	0.995383	0.972756
164	0.984810	0.957979
165	0.988000	0.946483
166	0.983821	0.931170
167	1.004923	0.935754
168	1.000965	0.936657
169	1.002604	0.939097
170	0.978922	0.919302
171	0.976995	0.898154
172	0.997526	0.895933
173	0.924120	0.827949
174	0.995635	0.824335
175	0.981140	0.808789
176	0.951667	0.769698
177	0.988131	0.760562
178	1.048764	0.797650
179	1.007155	0.803357
180	0.988560	0.794166
181	1.013402	0.804810
182	1.020326	0.821168
183	0.996985	0.818692
184	1.013304	0.829584
185	1.022788	0.848489
186	0.992226	0.841893
187	1.005332	0.846382
188	0.994207	0.841478
189	1.000082	0.841547
190	1.022972	0.860879
191	1.021163	0.879098
192	0.992951	0.872902
193	0.996787	0.870097
194	1.005252	0.874666
195	0.981905	0.858839
196	0.991336	0.851398
197	1.004024	0.854825
198	1.017179	0.869510
199	0.995120	0.865266
200	0.997547	0.863144
201	1.012749	0.874148
202	1.008187	0.881305
203	0.970212	0.855053
204	0.980522	0.838398
205	0.995127	0.834313
206	1.021071	0.851892
207	1.006257	0.857222
208	1.013200	0.868538
209	1.018691	0.884771
210	0.995344	0.880652
211	1.003700	0.883910
212	1.002028	0.885703
213	0.993722	0.880143
214	1.022614	0.900046
215	1.011511	0.910406
216	1.007987	0.917677
217	0.999629	0.917337
218	1.011977	0.928324
219	0.991108	0.920069
220	0.992852	0.913492
221	1.013609	0.925924
222	1.002978	0.928681
223	0.988923	0.918394
224	0.984095	0.903787
225	1.011946	0.914584
226	1.003140	0.917456
227	0.990433	0.908679
228	1.013715	0.921141
229	1.024013	0.943260
230	1.000700	0.943921
231	0.993747	0.938019
232	0.986076	0.924958
233	0.996217	0.921458
234	0.998536	0.920109
235	0.985170	0.906464
236	1.004087	0.910168
237	1.008449	0.917858
238	1.009520	0.926596
239	1.005920	0.932082
240	0.993468	0.925993
241	1.005842	0.931403
242	0.999983	0.931387
243	1.004510	0.935588
244	1.004869	0.940144
245	1.002012	0.942035
246	0.989055	0.931724
247	1.007978	0.939158
248	1.012243	0.950656
249	1.010007	0.960169
250	0.995336	0.955691
251	0.995319	0.951218
252	0.993666	0.945193
253	0.998947	0.944198
254	0.990998	0.935699
255	0.989409	0.925789
256	1.004063	0.929550
257	0.975424	0.906706
