Running strategy olmar1 on dataset djia.
Start Time: 2015-0129-17-01-54-614.
-------------------------------------
Parameters [epsilon:10.00, W:5, tc:0.0000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.973508	0.976054
3	1.021617	0.997153
4	1.031384	1.028448
5	1.027932	1.057175
6	1.062623	1.123378
7	1.003908	1.127768
8	1.036119	1.168502
9	0.978434	1.143303
10	1.055410	1.206653
11	0.926554	1.118029
12	1.067073	1.193019
13	1.033333	1.232786
14	1.016667	1.253332
15	0.959429	1.202483
16	0.981055	1.179703
17	1.017931	1.200856
18	1.063575	1.277200
19	1.041852	1.330654
20	1.021618	1.359420
21	0.974832	1.325206
22	0.971981	1.288075
23	1.021620	1.315923
24	1.000956	1.317182
25	0.987579	1.300821
26	1.010002	1.313832
27	0.983515	1.292174
28	1.019349	1.317176
29	1.052096	1.385796
30	1.017501	1.410049
31	0.989629	1.395425
32	1.025349	1.430797
33	0.983607	1.407341
34	0.991667	1.395613
35	0.998000	1.392822
36	1.009038	1.405411
37	0.994234	1.397308
38	0.997171	1.393355
39	1.061562	1.479132
40	1.023516	1.513916
41	1.018756	1.542311
42	1.005850	1.551334
43	1.012651	1.570959
44	1.005242	1.579194
45	1.012034	1.598197
46	0.942595	1.506453
47	1.058739	1.594940
48	0.949384	1.514211
49	0.985049	1.491572
50	0.958111	1.429091
51	1.045271	1.493788
52	0.910200	1.359645
53	1.037759	1.410984
54	0.967910	1.365706
55	1.071961	1.463984
56	1.003654	1.469334
57	1.029129	1.512134
58	1.036272	1.566983
59	0.985895	1.544880
60	0.990587	1.530338
61	0.980616	1.500674
62	0.948061	1.422730
63	1.002191	1.425848
64	1.132567	1.614869
65	0.958235	1.547425
66	0.986047	1.525833
67	1.067672	1.629090
68	1.004770	1.636861
69	0.999515	1.636066
70	1.019670	1.668247
71	1.003874	1.674709
72	1.089915	1.825290
73	1.026641	1.873918
74	0.947080	1.774751
75	1.008694	1.790181
76	1.011465	1.810706
77	1.078027	1.951989
78	0.986566	1.925765
79	1.015748	1.956092
80	1.000000	1.956092
81	1.031176	2.017074
82	1.022913	2.063292
83	0.995376	2.053751
84	1.004717	2.063438
85	0.998136	2.059591
86	0.993668	2.046549
87	1.007264	2.061415
88	1.005503	2.072758
89	0.963116	1.996307
90	0.981031	1.958439
91	0.992339	1.943434
92	1.042647	2.026316
93	1.002130	2.030632
94	1.005410	2.041616
95	1.022291	2.087125
96	0.983473	2.052631
97	1.007817	2.068675
98	1.016812	2.103454
99	0.996723	2.096561
100	1.003158	2.103182
101	0.996699	2.096239
102	1.015414	2.128549
103	0.999391	2.127254
104	0.983844	2.092886
105	1.006158	2.105774
106	1.009861	2.126538
107	0.974167	2.071604
108	0.968661	2.006682
109	0.999548	2.005774
110	0.960663	1.926873
111	0.972165	1.873238
112	0.877899	1.644513
113	1.043127	1.715435
114	1.033592	1.773060
115	0.995536	1.765144
116	1.030746	1.819416
117	0.975132	1.774170
118	0.987013	1.751129
119	0.995575	1.743381
120	0.981037	1.710321
121	0.991241	1.695341
122	1.026490	1.740250
123	0.987959	1.719296
124	0.977364	1.680378
125	1.029024	1.729149
126	1.039886	1.798118
127	0.964239	1.733815
128	1.011751	1.754189
129	0.973644	1.707956
130	1.017180	1.737298
131	1.023109	1.777446
132	1.008197	1.792015
133	1.024065	1.835140
134	1.021640	1.874853
135	1.038335	1.946724
136	0.997315	1.941497
137	1.016346	1.973233
138	0.969789	1.913620
139	0.988523	1.891657
140	1.049154	1.984639
141	0.998858	1.982374
142	1.012917	2.007979
143	0.995064	1.998067
144	1.018189	2.034411
145	0.996169	2.026616
146	0.985981	1.998206
147	1.013033	2.024249
148	1.000000	2.024249
149	1.001945	2.028186
150	0.984522	1.996793
151	1.001351	1.999491
152	1.010118	2.019722
153	0.990345	2.000220
154	1.003065	2.006351
