Running strategy olmar2 on dataset djia.
Start Time: 2015-0129-17-01-54-664.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.980118	0.982681
3	1.024486	1.006743
4	0.959134	0.965601
5	0.994674	0.960458
6	1.025487	0.984938
7	1.022934	1.007526
8	1.036119	1.043917
9	0.971957	1.014642
10	0.954075	0.968045
11	0.926554	0.896946
12	1.067073	0.957107
13	1.033333	0.989010
14	1.016667	1.005494
15	0.959429	0.964699
16	0.981055	0.946424
17	1.017931	0.963394
18	1.063575	1.024642
19	1.041852	1.067525
20	1.021618	1.090603
21	1.005839	1.096971
22	0.971981	1.066235
23	1.021620	1.089287
24	1.000956	1.090329
25	1.013684	1.105248
26	1.010002	1.116303
27	0.993573	1.109129
28	1.019349	1.130590
29	1.052096	1.189489
30	1.017501	1.210306
31	0.989629	1.197754
32	0.920616	1.102671
33	0.983607	1.084595
34	1.006211	1.091331
35	0.981317	1.070942
36	1.009038	1.080622
37	0.994234	1.074391
38	1.008754	1.083796
39	0.953878	1.033809
40	1.023516	1.058121
41	1.018143	1.077319
42	0.992032	1.068735
43	1.012651	1.082255
44	1.005242	1.087928
45	1.012034	1.101020
46	0.942595	1.037816
47	1.068939	1.109362
48	0.998236	1.107405
49	1.034304	1.145393
50	0.958111	1.097413
51	1.086957	1.192840
52	0.910200	1.085723
53	1.037759	1.126718
54	0.967910	1.090562
55	1.067187	1.163834
56	1.003654	1.168087
57	0.975170	1.139083
58	1.036272	1.180400
59	0.985895	1.163750
60	0.990587	1.152796
61	0.989747	1.140977
62	0.948061	1.081716
63	1.002191	1.084086
64	1.132567	1.227801
65	1.009615	1.239607
66	0.981803	1.217049
67	1.067672	1.299410
68	1.004770	1.305608
69	0.999515	1.304974
70	1.019670	1.330643
71	0.990114	1.317488
72	1.000523	1.318177
73	0.996648	1.313759
74	0.967352	1.270867
75	1.008694	1.281916
76	0.951715	1.220019
77	1.078027	1.315213
78	0.957177	1.258892
79	1.015748	1.278717
80	1.009386	1.290719
81	1.009917	1.303520
82	0.991830	1.292870
83	0.995376	1.286892
84	1.004717	1.292962
85	0.998136	1.290552
86	0.998655	1.288816
87	1.007264	1.298178
88	0.969262	1.258274
89	0.963116	1.211864
90	0.981031	1.188876
91	0.992339	1.179767
92	0.993269	1.171827
93	1.002130	1.174322
94	1.001742	1.176368
95	1.010281	1.188462
96	0.983473	1.168820
97	0.981113	1.146744
98	0.965816	1.107544
99	0.996723	1.103914
100	1.003158	1.107400
101	0.955117	1.057696
102	1.015414	1.073999
103	0.999391	1.073346
104	0.983844	1.056004
105	1.006158	1.062507
106	0.965773	1.026141
107	0.974167	0.999633
108	0.968661	0.968306
109	0.999548	0.967867
110	0.960663	0.929794
111	0.972165	0.903913
112	0.877899	0.793544
113	1.043127	0.827767
114	1.040936	0.861653
115	0.995536	0.857807
116	0.988835	0.848229
117	0.992171	0.841588
118	0.987013	0.830658
119	0.995575	0.826983
120	0.981037	0.811301
121	0.993637	0.806139
122	1.026490	0.827493
123	0.987959	0.817529
124	0.977364	0.799024
125	1.029024	0.822214
126	0.978661	0.804669
127	0.964239	0.775893
128	1.011751	0.785011
129	0.973644	0.764321
130	1.005209	0.768303
131	1.023109	0.786057
132	1.008197	0.792500
133	0.975772	0.773300
134	1.021640	0.790034
135	1.038335	0.820320
136	1.005183	0.824572
137	1.013882	0.836019
138	0.969789	0.810762
139	0.988523	0.801457
140	1.049154	0.840852
141	0.998858	0.839892
142	1.012917	0.850740
143	1.011816	0.860793
144	1.028832	0.885612
145	0.996169	0.882219
146	0.985981	0.869851
147	1.013033	0.881188
148	1.000000	0.881188
149	1.011229	0.891082
150	0.984522	0.877290
151	1.001351	0.878475
152	1.031206	0.905889
153	0.973881	0.882228
154	1.003065	0.884932
155	0.993125	0.878848
156	1.012675	0.889987
157	0.979231	0.871503
158	1.004631	0.875539
159	0.994643	0.870848
160	1.032878	0.899480
161	0.995266	0.895222
162	1.049560	0.939589
163	0.995364	0.935233
164	0.991136	0.926943
165	0.986670	0.914587
166	0.977971	0.894440
167	1.001932	0.896168
168	0.983348	0.881244
169	0.967039	0.852198
170	0.972512	0.828773
171	1.020916	0.846107
172	0.961930	0.813896
173	0.823746	0.670443
174	1.033053	0.692603
175	0.984007	0.681527
176	0.985506	0.671649
177	1.044701	0.701672
178	1.017966	0.714279
179	1.037504	0.741067
180	1.014412	0.751747
181	0.963462	0.724279
182	1.053892	0.763312
183	0.978963	0.747254
184	1.057099	0.789921
185	1.086489	0.858241
186	0.996654	0.855369
187	1.027906	0.879239
188	0.987406	0.868166
189	1.040325	0.903174
190	1.017412	0.918900
191	1.011745	0.929693
192	0.969265	0.901118
193	0.993658	0.895403
194	1.000000	0.895403
195	0.995160	0.891070
196	0.975074	0.868859
197	0.991620	0.861578
198	1.030986	0.888275
199	0.936715	0.832060
200	1.011088	0.841286
201	1.018886	0.857175
202	1.000625	0.857711
203	0.985009	0.844853
204	0.978667	0.826830
205	0.919784	0.760505
206	1.048103	0.797088
207	1.041888	0.830476
208	1.055984	0.876970
209	1.002031	0.878751
210	0.984533	0.865159
211	1.020585	0.882969
212	1.011010	0.892690
213	0.994585	0.887856
214	1.038663	0.922184
215	1.001070	0.923170
216	0.960982	0.887150
217	1.009411	0.895499
218	1.016393	0.910179
219	1.025669	0.933542
220	1.028715	0.960348
221	1.021463	0.980961
222	0.984648	0.965901
223	0.978995	0.945613
224	1.010381	0.955429
225	1.014933	0.969697
226	0.996067	0.965883
227	0.958961	0.926244
228	1.011647	0.937032
229	0.988992	0.926717
230	0.983569	0.911490
231	1.018093	0.927982
232	0.985851	0.914852
233	0.985207	0.901318
234	0.964086	0.868948
235	0.990089	0.860336
236	1.002589	0.862563
237	1.012532	0.873373
238	1.016510	0.887792
239	1.009268	0.896020
240	0.986998	0.884370
241	1.013446	0.896262
242	1.006723	0.902287
243	1.001310	0.903469
244	1.009864	0.912381
245	1.011686	0.923044
246	0.999576	0.922652
247	0.995923	0.918890
248	1.002047	0.920771
249	1.017982	0.937328
250	0.967117	0.906506
251	1.033286	0.936680
252	1.005859	0.942167
253	1.014129	0.955479
254	0.993036	0.948825
255	0.997057	0.946032
256	0.970032	0.917681
257	0.944715	0.866948
258	1.002065	0.868738
259	1.008245	0.875901
260	0.975189	0.854169
261	1.023659	0.874378
262	1.007600	0.881023
263	1.011620	0.891260
264	1.029664	0.917699
265	0.934130	0.857250
266	1.031513	0.884264
267	1.014327	0.896933
268	1.066002	0.956132
269	0.950249	0.908564
270	0.949607	0.862779
271	1.014473	0.875265
272	1.019231	0.892097
273	1.006500	0.897896
274	1.024534	0.919925
275	1.005805	0.925265
276	1.008192	0.932844
277	0.998678	0.931611
278	0.945687	0.881012
279	0.958108	0.844105
280	1.044429	0.881607
281	0.970496	0.855597
282	1.001696	0.857048
283	1.028734	0.881674
284	0.996877	0.878920
285	0.995670	0.875114
286	1.007269	0.881475
287	1.085114	0.956501
288	0.992245	0.949083
289	0.951904	0.903436
290	1.025263	0.926260
291	0.990589	0.917543
292	0.999762	0.917324
293	0.999216	0.916605
294	1.004374	0.920615
295	0.992965	0.914138
296	0.988194	0.903346
297	0.983488	0.888430
298	0.983933	0.874155
299	0.993706	0.868654
300	0.994180	0.863598
301	1.017042	0.878316
302	1.011215	0.888166
303	0.984448	0.874354
304	1.014343	0.886894
305	1.001312	0.888058
306	1.010704	0.897564
307	0.998940	0.896612
308	0.989422	0.887128
309	0.983072	0.872111
310	1.002130	0.873969
311	0.994733	0.869366
312	0.898817	0.781401
313	1.003775	0.784351
314	1.014475	0.795704
315	0.920250	0.732247
316	1.024868	0.750456
317	0.949329	0.712430
318	1.039246	0.740391
319	0.984996	0.729281
320	0.963192	0.702438
321	0.978261	0.687167
322	1.009123	0.693436
323	0.987997	0.685113
324	0.995986	0.682363
325	1.011053	0.689905
326	0.998858	0.689117
327	1.014369	0.699019
328	1.006950	0.703878
329	1.003666	0.706458
330	1.010664	0.713992
331	0.967780	0.690987
332	0.970633	0.670694
333	1.006579	0.675107
334	1.007944	0.680470
335	1.007718	0.685721
336	0.973325	0.667430
337	1.052747	0.702635
338	0.988978	0.694891
339	1.017771	0.707239
340	1.012900	0.716363
341	0.998448	0.715251
342	1.034188	0.739704
343	0.966303	0.714778
344	0.985523	0.704431
345	0.969492	0.682940
346	1.012121	0.691218
347	1.000000	0.691218
348	0.985797	0.681400
349	0.996669	0.679131
350	1.038356	0.705179
351	0.963330	0.679321
352	0.984087	0.668511
353	1.018162	0.680652
354	1.008584	0.686495
355	0.990654	0.680079
356	0.957727	0.651330
357	0.959658	0.625054
358	1.067260	0.667096
359	1.041123	0.694529
360	1.001114	0.695302
361	1.041103	0.723882
362	1.029351	0.745128
363	0.998406	0.743940
364	0.957690	0.712464
365	0.973493	0.693579
366	1.032034	0.715797
367	0.953893	0.682794
368	0.966702	0.660059
369	0.952667	0.628816
370	1.018894	0.640697
371	0.966322	0.619120
372	0.995855	0.616553
373	1.071213	0.660460
374	1.057090	0.698166
375	1.014344	0.708180
376	0.987368	0.699235
377	0.952350	0.665916
378	0.944361	0.628865
379	0.926433	0.582601
380	1.031282	0.600826
381	1.007134	0.605113
382	0.967322	0.585339
383	0.986726	0.577569
384	0.988095	0.570693
385	1.016249	0.579966
386	0.972454	0.563990
387	1.160359	0.654431
388	1.002028	0.655758
389	1.075057	0.704977
390	1.071988	0.755727
391	0.990959	0.748894
392	0.996671	0.746401
393	0.982018	0.732980
394	0.998811	0.732108
395	0.932071	0.682376
396	1.007708	0.687637
397	0.966620	0.664683
398	1.043165	0.693375
399	1.021044	0.707966
400	1.007030	0.712943
401	0.992135	0.707336
402	0.979346	0.692726
403	1.031362	0.714451
404	0.991741	0.708551
405	1.028731	0.728908
406	0.982121	0.715876
407	1.015535	0.726997
408	1.024163	0.744563
409	0.960555	0.715194
410	1.009465	0.721964
411	1.006726	0.726819
412	0.980210	0.712435
413	0.984444	0.701352
414	1.016613	0.713004
415	0.933711	0.665739
416	1.030963	0.686352
417	0.957279	0.657030
418	1.073461	0.705297
419	1.004213	0.708268
420	0.981348	0.695058
421	0.992657	0.689954
422	0.993689	0.685599
423	1.001363	0.686534
424	1.046265	0.718296
425	0.995538	0.715091
426	0.960338	0.686729
427	0.982930	0.675006
428	0.986420	0.665839
429	1.010775	0.673014
430	0.950803	0.639904
431	1.036950	0.663548
432	1.024275	0.679656
433	0.995025	0.676275
434	1.024828	0.693065
435	1.056156	0.731985
436	0.945792	0.692306
437	1.000401	0.692583
438	1.014035	0.702304
439	1.013906	0.712070
440	1.067669	0.760255
441	0.922917	0.701652
442	1.068043	0.749394
443	1.023224	0.766798
444	1.019929	0.782080
445	1.102385	0.862153
446	1.000885	0.862916
447	1.050960	0.906890
448	1.010675	0.916572
449	1.046897	0.959556
450	0.987847	0.947894
451	0.998579	0.946547
452	0.995858	0.942627
453	1.017506	0.959129
454	1.034041	0.991778
455	1.024845	1.016419
456	1.025579	1.042418
457	1.021505	1.064835
458	0.983380	1.047137
459	0.958099	1.003261
460	1.039324	1.042713
461	1.006284	1.049265
462	0.987225	1.035861
463	0.980583	1.015747
464	0.960652	0.975779
465	1.041667	1.016437
466	1.032946	1.049925
467	1.003289	1.053378
468	1.009499	1.063384
469	0.971343	1.032911
470	1.012329	1.045646
471	1.016912	1.063330
472	1.012292	1.076401
473	0.998929	1.075247
474	1.000715	1.076016
475	0.994284	1.069865
476	1.006109	1.076401
477	1.001429	1.077938
478	1.011526	1.090362
479	1.002334	1.092907
480	0.953614	1.042211
481	0.997738	1.039853
482	0.986814	1.026142
483	0.981363	1.007018
484	1.025452	1.032649
485	1.032658	1.066373
486	1.024680	1.092691
487	0.984753	1.076031
488	1.025416	1.103379
489	0.982287	1.083835
490	0.998124	1.081802
491	0.992411	1.073592
492	1.058542	1.136443
493	0.984696	1.119051
494	0.991667	1.109725
495	0.986849	1.095132
496	0.976402	1.069289
497	1.002275	1.071721
498	0.987944	1.058800
499	1.071933	1.134963
500	0.986369	1.119493
501	1.020580	1.142532
502	0.983501	1.123682
503	0.986021	1.107973
504	1.029748	1.140934
505	1.013333	1.156146
506	0.998611	1.154540
507	1.005710	1.161133
OLMAR-2(epsilon:10.00, alpha:0.50, tc:0.0000), Final return: 1.16
-------------------------------------
