Running strategy ons on dataset djia.
Start Time: 2015-0129-17-01-37-496.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.980847	0.983412
3	0.998590	0.982025
4	0.990985	0.973172
5	1.006814	0.979804
6	1.008484	0.988116
7	0.998203	0.986340
8	1.016254	1.002373
9	0.994420	0.996779
10	1.003068	0.999838
11	0.976007	0.975849
12	1.011995	0.987555
13	1.015903	1.003260
14	0.995917	0.999164
15	1.013448	1.012601
16	0.987575	1.000020
17	1.004622	1.004642
18	1.020906	1.025644
19	1.013231	1.039214
20	1.004363	1.043748
21	0.997689	1.041336
22	1.008303	1.049982
23	0.994580	1.044290
24	0.996735	1.040881
25	0.993544	1.034162
26	0.995015	1.029006
27	1.023348	1.053031
28	1.002262	1.055414
29	0.988558	1.043338
30	1.010560	1.054356
31	0.994961	1.049043
32	1.002133	1.051281
33	0.969726	1.019454
34	0.998405	1.017829
35	0.997635	1.015421
36	1.032048	1.047963
37	1.000023	1.047988
38	0.986745	1.034097
39	0.989988	1.023744
40	1.008683	1.032633
41	1.000864	1.033525
42	1.006161	1.039892
43	1.015406	1.055913
44	1.017942	1.074858
45	0.983459	1.057079
46	0.957957	1.012637
47	1.021095	1.033998
48	0.963713	0.996477
49	1.016938	1.013356
50	0.981614	0.994724
51	1.012966	1.007622
52	0.970775	0.978174
53	0.975471	0.954180
54	0.997710	0.951995
55	1.033309	0.983704
56	1.022279	1.005620
57	1.036653	1.042480
58	0.990627	1.032709
59	1.002370	1.035156
60	1.020043	1.055903
61	0.991355	1.046776
62	0.970402	1.015793
63	0.984995	1.000551
64	1.053748	1.054328
65	0.974940	1.027907
66	0.999008	1.026887
67	1.032054	1.059803
68	1.013795	1.074423
69	1.011417	1.086689
70	0.998933	1.085530
71	1.004761	1.090699
72	1.060601	1.156796
73	1.007257	1.165190
74	0.977971	1.139522
75	0.994102	1.132802
76	0.994954	1.127086
77	1.014010	1.142876
78	1.003760	1.147173
79	1.022469	1.172949
80	0.991637	1.163140
81	1.022270	1.189043
82	1.002104	1.191545
83	0.987225	1.176323
84	1.009736	1.187775
85	0.998699	1.186230
86	0.986691	1.170442
87	1.002813	1.173734
88	1.004587	1.179118
89	0.994926	1.173135
90	1.005038	1.179045
91	0.993152	1.170971
92	1.038798	1.216402
93	1.021471	1.242520
94	1.003638	1.247040
95	1.011429	1.261292
96	0.998448	1.259334
97	0.989915	1.246634
98	1.002405	1.249632
99	0.985752	1.231828
100	1.004012	1.236771
101	0.986498	1.220072
102	1.002810	1.223500
103	1.007674	1.232890
104	0.999923	1.232794
105	1.007881	1.242510
106	0.987875	1.227444
107	0.998847	1.226029
108	0.991305	1.215369
109	0.998530	1.213582
110	1.002993	1.217214
111	0.996413	1.212848
112	0.974804	1.182289
113	0.994619	1.175928
114	0.997181	1.172612
115	0.997084	1.169193
116	1.007477	1.177935
117	1.001534	1.179743
118	0.989398	1.167235
119	0.995482	1.161961
120	0.999577	1.161470
121	0.997511	1.158579
122	1.018033	1.179472
123	0.985653	1.162551
124	1.008236	1.172126
125	1.007736	1.181193
126	0.999841	1.181005
127	0.976866	1.153684
128	1.005128	1.159600
129	0.986310	1.143725
130	1.011142	1.156468
131	1.016161	1.175158
132	1.013883	1.191472
133	0.998619	1.189828
134	1.011563	1.203586
135	1.003712	1.208054
136	1.005506	1.214705
137	0.995547	1.209296
138	0.989997	1.197199
139	0.992229	1.187896
140	1.014420	1.205026
141	0.999639	1.204591
142	1.007796	1.213981
143	1.000166	1.214183
144	1.011462	1.228100
145	1.008037	1.237971
146	0.999951	1.237910
147	0.996640	1.233751
148	0.992581	1.224598
149	1.006874	1.233016
150	0.991800	1.222905
151	0.999232	1.221966
152	1.009318	1.233352
153	0.997928	1.230796
154	0.999945	1.230728
155	0.996928	1.226947
156	1.001834	1.229197
157	0.987243	1.213516
158	1.017399	1.234630
159	0.983390	1.214123
160	1.007925	1.223744
161	0.998491	1.221897
162	1.020159	1.246530
163	0.994244	1.239355
164	0.980791	1.215547
165	0.989040	1.202225
166	0.985004	1.184197
167	1.005752	1.191008
168	0.978624	1.165549
169	0.998646	1.163971
170	0.970068	1.129132
171	0.989090	1.116813
172	0.998683	1.115342
173	0.888645	0.991144
174	0.964591	0.956048
175	0.963050	0.920723
176	0.941619	0.866970
177	1.018541	0.883045
178	1.078517	0.952379
179	1.007601	0.959618
180	0.990327	0.950335
181	1.001121	0.951400
182	1.027209	0.977287
183	0.985564	0.963179
184	1.009419	0.972251
185	1.050702	1.021546
186	0.991187	1.012543
187	0.999121	1.011653
188	1.004515	1.016220
189	1.012944	1.029374
190	1.013907	1.043689
191	1.025356	1.070154
192	0.996566	1.066478
193	0.997715	1.064041
194	1.008107	1.072667
195	0.971276	1.041856
196	0.984399	1.025602
197	1.009214	1.035051
198	1.017188	1.052842
199	0.995819	1.048440
200	1.005841	1.054564
201	1.027749	1.083827
202	1.011276	1.096049
203	0.963613	1.056167
204	0.980258	1.035316
205	0.998793	1.034066
206	1.021608	1.056410
207	1.002416	1.058962
208	1.018824	1.078895
209	1.041141	1.123282
210	0.995385	1.118098
211	1.005418	1.124157
212	0.997100	1.120897
213	0.992219	1.112175
214	1.020169	1.134606
215	1.027135	1.165393
216	1.019196	1.187763
217	1.002698	1.190968
218	1.018759	1.213309
219	0.989566	1.200650
220	0.991276	1.190175
221	1.021675	1.215973
222	1.013797	1.232750
223	0.985352	1.214692
224	0.974983	1.184304
225	1.016747	1.204138
226	1.003027	1.207783
227	0.987866	1.193127
228	1.019836	1.216794
229	1.033684	1.257780
230	1.016568	1.278620
231	0.997475	1.275391
232	0.985677	1.257123
233	0.998607	1.255372
234	0.988063	1.240387
235	0.985057	1.221851
236	0.995194	1.215978
237	1.000675	1.216800
238	1.009338	1.228162
239	1.013824	1.245140
240	0.994012	1.237683
241	1.007445	1.246897
242	1.002396	1.249885
243	1.003119	1.253783
244	1.005850	1.261117
245	1.009831	1.273515
246	0.990348	1.261224
247	1.009801	1.273585
248	1.019410	1.298305
249	1.021235	1.325874
250	0.997824	1.322989
251	0.994762	1.316059
252	0.997413	1.312655
253	1.002973	1.316557
254	0.983856	1.295302
255	0.982154	1.272186
256	1.009647	1.284459
257	0.968204	1.243618
258	1.016180	1.263739
259	0.997551	1.260644
260	1.002135	1.263336
261	0.999618	1.262853
262	1.023126	1.292058
263	1.007042	1.301156
264	0.996807	1.297002
265	0.969306	1.257191
266	1.025443	1.289178
267	1.013370	1.306415
268	0.998756	1.304790
269	0.970384	1.266147
270	1.000328	1.266563
271	0.990230	1.254188
272	1.011570	1.268699
273	1.012913	1.285082
274	1.010404	1.298453
275	0.997950	1.295790
276	1.010795	1.309779
277	1.007216	1.319230
278	0.990902	1.307227
279	0.977465	1.277768
280	1.020552	1.304029
281	0.992123	1.293757
282	0.998317	1.291580
283	1.027398	1.326966
284	0.999829	1.326739
285	1.007494	1.336682
286	1.007508	1.346718
287	1.021466	1.375627
288	1.040321	1.431093
289	0.996171	1.425613
290	1.016366	1.448945
291	0.993667	1.439769
292	1.013549	1.459276
293	1.018614	1.486439
294	0.996126	1.480680
295	0.986658	1.460925
296	0.992200	1.449530
297	1.003155	1.454104
298	0.996027	1.448327
299	1.000104	1.448478
300	0.981568	1.421779
301	0.998322	1.419394
302	0.995028	1.412336
