Running strategy pamr on dataset djia.
Start Time: 2015-0129-17-01-54-164.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.981833	0.984401
3	1.024486	1.008505
4	0.970985	0.979243
5	1.004828	0.983970
6	0.982108	0.966365
7	1.013096	0.979021
8	1.005670	0.984572
9	1.001024	0.985580
10	0.980803	0.966659
11	0.942127	0.910716
12	1.067073	0.971801
13	1.022578	0.993742
14	1.007808	1.001501
15	0.963028	0.964474
16	0.992005	0.956763
17	1.011594	0.967856
18	1.033732	1.000503
19	1.000527	1.001030
20	1.020659	1.021710
21	1.003326	1.025108
22	0.983925	1.008630
23	1.021620	1.030437
24	0.998637	1.029032
25	0.996395	1.025322
26	0.974003	0.998667
27	1.013735	1.012384
28	1.009349	1.021849
29	1.052096	1.075083
30	1.009598	1.085402
31	0.992054	1.076777
32	0.920616	0.991298
33	0.983346	0.974788
34	0.979114	0.954429
35	0.988549	0.943499
36	1.013411	0.956153
37	0.990352	0.946928
38	1.005808	0.952428
39	0.958787	0.913176
40	1.023131	0.934298
41	1.016624	0.949831
42	0.994653	0.944752
43	0.984236	0.929858
44	1.014045	0.942919
45	0.956617	0.902012
46	0.941125	0.848906
47	1.060195	0.900006
48	0.990673	0.891611
49	1.034193	0.922099
50	0.970446	0.894847
51	1.078673	0.965247
52	0.922685	0.890619
53	1.037759	0.924247
54	0.991471	0.916365
55	1.045394	0.957962
56	1.022715	0.979723
57	0.998957	0.978701
58	1.036272	1.014200
59	0.988825	1.002866
60	1.010012	1.012907
61	0.991106	1.003898
62	0.948061	0.951757
63	0.989139	0.941420
64	1.132567	1.066222
65	1.000402	1.066650
66	0.984788	1.050425
67	1.034881	1.087065
68	0.994967	1.081594
69	1.001525	1.083244
70	1.003279	1.086796
71	0.990114	1.076052
72	1.086459	1.169086
73	1.004875	1.174785
74	0.976812	1.147544
75	1.008694	1.157521
76	0.960712	1.112044
77	1.010483	1.123702
78	0.991894	1.114593
79	1.015560	1.131936
80	1.005538	1.138204
81	1.017675	1.158322
82	0.999060	1.157233
83	0.987177	1.142394
84	1.015789	1.160432
85	1.001087	1.161693
86	0.973030	1.130362
87	1.002248	1.132903
88	0.969262	1.098079
89	0.963116	1.057578
90	0.984266	1.040938
91	0.992339	1.032963
92	0.993269	1.026011
93	1.002130	1.028196
94	1.007628	1.036039
95	1.031533	1.068708
96	0.982674	1.050192
97	0.993843	1.043727
98	0.996825	1.040412
99	0.996723	1.037003
100	0.997225	1.034125
101	0.963905	0.996799
102	1.015740	1.012488
103	0.991186	1.003564
104	0.990381	0.993911
105	1.006156	1.000029
106	0.965773	0.965801
107	0.994162	0.960163
108	0.978392	0.939415
109	0.972909	0.913966
110	0.960663	0.878013
111	0.972165	0.853573
112	0.911247	0.777816
113	1.043127	0.811361
114	0.992910	0.805608
115	0.994032	0.800800
116	0.986354	0.789873
117	0.986714	0.779379
118	0.988682	0.770558
119	0.995575	0.767148
120	0.992554	0.761436
121	0.993119	0.756196
122	1.026490	0.776228
123	0.987959	0.766882
124	0.977364	0.749522
125	1.021562	0.765684
126	0.984177	0.753569
127	0.965146	0.727304
128	1.001173	0.728157
129	0.995896	0.725169
130	1.011587	0.733571
131	1.028397	0.754403
132	1.003337	0.756920
133	0.999591	0.756611
134	1.004399	0.759939
135	0.997074	0.757716
136	1.006902	0.762946
137	1.007552	0.768708
138	0.969789	0.745484
139	0.978241	0.729263
140	1.049154	0.765109
141	0.982679	0.751857
142	1.012917	0.761568
143	1.001789	0.762931
144	1.004395	0.766284
145	0.996318	0.763462
146	0.999051	0.762738
147	0.998064	0.761262
148	0.991660	0.754913
149	1.011229	0.763389
150	0.987977	0.754211
151	1.001128	0.755062
152	1.013887	0.765547
153	0.984586	0.753748
154	1.003065	0.756058
155	0.978077	0.739483
156	1.015795	0.751163
157	0.979323	0.735631
158	1.004631	0.739038
159	0.994643	0.735079
160	1.024575	0.753144
161	0.996533	0.750533
162	1.007578	0.756220
163	0.992126	0.750266
164	1.004683	0.753780
165	0.986670	0.743732
166	0.977971	0.727348
167	1.001932	0.728753
168	1.005999	0.733125
169	0.967039	0.708960
170	0.971358	0.688654
171	0.961400	0.662072
172	0.975734	0.646007
173	0.863529	0.557845
174	0.967182	0.539538
175	0.970675	0.523716
176	0.923267	0.483529
177	1.015331	0.490942
178	1.039781	0.510473
179	0.993095	0.506948
180	0.989070	0.501407
181	0.964158	0.483436
182	1.053892	0.509489
183	0.978842	0.498709
184	1.056759	0.527015
185	1.066138	0.561871
186	0.991841	0.557286
187	1.009747	0.562718
188	1.001496	0.563560
189	1.041790	0.587112
190	1.020503	0.599149
191	1.010828	0.605637
192	0.983071	0.595384
193	0.990217	0.589559
194	1.000620	0.589925
195	0.972709	0.573825
196	0.991063	0.568697
197	0.991255	0.563724
198	1.022269	0.576277
199	0.936715	0.539807
200	1.011088	0.545793
201	1.010370	0.551453
202	1.012657	0.558433
203	0.976510	0.545315
204	0.978667	0.533682
205	0.919784	0.490872
206	1.048103	0.514485
207	1.036905	0.533472
208	1.055984	0.563338
209	1.005187	0.566260
210	0.991118	0.561230
211	0.978694	0.549273
212	1.034407	0.568172
213	0.994585	0.565095
214	1.037560	0.586320
215	1.002705	0.587906
216	0.977770	0.574837
217	1.009411	0.580246
218	1.030437	0.597907
219	1.015456	0.607149
220	1.024931	0.622286
221	1.026887	0.639017
222	0.984648	0.629207
223	0.981929	0.617836
224	1.010381	0.624250
225	1.013626	0.632756
226	0.995690	0.630029
227	0.967956	0.609841
228	1.011647	0.616943
229	0.986630	0.608695
230	0.990213	0.602738
231	1.019353	0.614402
232	0.994037	0.610738
233	0.985207	0.601704
234	0.964086	0.580094
235	0.990089	0.574344
236	1.020973	0.586390
237	0.999728	0.586231
238	1.014643	0.594815
239	1.007500	0.599277
240	0.986998	0.591485
241	0.993799	0.587817
242	1.008171	0.592620
243	1.001310	0.593396
244	1.011611	0.600286
245	1.008856	0.605602
246	0.994380	0.602198
247	0.995923	0.599743
248	1.007924	0.604495
249	0.993843	0.600773
250	0.978509	0.587862
251	1.012004	0.594919
252	1.005151	0.597984
253	1.017675	0.608553
254	0.996634	0.606505
255	0.994946	0.603439
256	0.970032	0.585355
257	0.944715	0.552994
258	1.002065	0.554136
259	1.009653	0.559486
260	0.972693	0.544207
261	1.013372	0.551485
262	0.999997	0.551483
263	0.985145	0.543291
264	1.029664	0.559407
265	0.949721	0.531280
266	1.032705	0.548656
267	1.012790	0.555673
268	1.066002	0.592349
269	0.950249	0.562879
270	0.960978	0.540914
271	1.014473	0.548743
272	1.011407	0.555002
273	1.015656	0.563692
274	1.000611	0.564036
275	0.992883	0.560022
276	1.017523	0.569835
277	0.998678	0.569082
278	0.949740	0.540480
279	0.958108	0.517838
280	1.044970	0.541125
281	1.003013	0.542755
282	1.001696	0.543676
283	1.028734	0.559297
284	0.996692	0.557447
285	0.995670	0.555033
286	1.005902	0.558309
287	1.054762	0.588883
288	1.016004	0.598307
289	0.991286	0.593094
290	1.021166	0.605647
291	0.990589	0.599947
292	1.016084	0.609597
293	0.999216	0.609119
294	0.988105	0.601874
295	0.989079	0.595301
296	0.988194	0.588273
297	0.991746	0.583417
298	0.983933	0.574043
299	1.005632	0.577276
300	0.967039	0.558249
301	1.020553	0.569722
302	1.002796	0.571316
303	0.984476	0.562446
304	0.992792	0.558392
305	1.004514	0.560913
306	1.001767	0.561904
307	0.998940	0.561308
308	0.989422	0.555370
309	0.983072	0.545969
310	1.008922	0.550840
311	0.995581	0.548406
312	0.930540	0.510314
313	1.003775	0.512240
314	1.025748	0.525430
315	0.920250	0.483526
316	1.019409	0.492911
317	0.999663	0.492745
318	1.039246	0.512084
319	0.985453	0.504634
320	0.963209	0.486068
