Running strategy pamr_2 on dataset djia.
Start Time: 2015-0129-17-01-54-274.
-------------------------------------
Parameters [epsilon:0.500000, C:500.000000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.982086	0.984654
3	1.024486	1.008764
4	0.971030	0.979540
5	1.005001	0.984439
6	0.983140	0.967841
7	1.012727	0.980159
8	1.006094	0.986133
9	1.001613	0.987724
10	0.982625	0.970562
11	0.942545	0.914799
12	1.067073	0.976157
13	1.021536	0.997180
14	1.007637	1.004795
15	0.964096	0.968719
16	0.992186	0.961150
17	1.012013	0.972696
18	1.033041	1.004835
19	1.002638	1.007486
20	1.020603	1.028243
21	1.002497	1.030811
22	0.985535	1.015900
23	1.021620	1.037864
24	0.998212	1.036009
25	0.996823	1.032717
26	0.973920	1.005784
27	1.014998	1.020868
28	1.007894	1.028927
29	1.052096	1.082530
30	1.010583	1.093986
31	0.992511	1.085794
32	0.920616	0.999599
33	0.983355	0.982961
34	0.979429	0.962740
35	0.988833	0.951989
36	1.013937	0.965257
37	0.990476	0.956064
38	1.004380	0.960252
39	0.959454	0.921317
40	1.022829	0.942350
41	1.016685	0.958073
42	0.995198	0.953472
43	0.985873	0.940002
44	1.014479	0.953612
45	0.956614	0.912238
46	0.940405	0.857873
47	1.059629	0.909027
48	0.990095	0.900023
49	1.034184	0.930790
50	0.970983	0.903781
51	1.077523	0.973845
52	0.923356	0.899206
53	1.037759	0.933159
54	0.991737	0.925448
55	1.044831	0.966937
56	1.023182	0.989352
57	1.000665	0.990010
58	1.036272	1.025920
59	0.989375	1.015019
60	1.008889	1.024041
61	0.991573	1.015412
62	0.948061	0.962673
63	0.990658	0.953679
64	1.132567	1.080106
65	1.000414	1.080553
66	0.984884	1.064219
67	1.036756	1.103335
68	0.995185	1.098023
69	1.001502	1.099673
70	1.004684	1.104824
71	0.990114	1.093902
72	1.097884	1.200977
73	1.003552	1.205242
74	0.976639	1.177086
75	1.008694	1.187320
76	0.961589	1.141714
77	1.011777	1.155161
78	0.991605	1.145463
79	1.015051	1.162703
80	1.005567	1.169176
81	1.016975	1.189023
82	0.999893	1.188895
83	0.987289	1.173783
84	1.015198	1.191622
85	1.000935	1.192736
86	0.974665	1.162519
87	1.001302	1.164033
88	0.969262	1.128252
89	0.963116	1.086638
90	0.983870	1.069110
91	0.992339	1.060919
92	0.993269	1.053779
93	1.002130	1.056023
94	1.007556	1.064002
95	1.031533	1.097553
96	0.982631	1.078490
97	0.994324	1.072368
98	0.996729	1.068860
99	0.997448	1.066132
100	0.996566	1.062471
101	0.964665	1.024928
102	1.015749	1.041070
103	0.991791	1.032523
104	0.990227	1.022432
105	1.006152	1.028723
106	0.965773	0.993513
107	0.990822	0.984395
108	0.976860	0.961615
109	0.977228	0.939718
110	0.964039	0.905925
111	0.972671	0.881166
112	0.905293	0.797714
113	1.043127	0.832116
114	0.993782	0.826943
115	0.993917	0.821912
116	0.985851	0.810283
117	0.985124	0.798229
118	0.988756	0.789254
119	0.995575	0.785761
120	0.991670	0.779216
121	0.992907	0.773689
122	1.026490	0.794184
123	0.987959	0.784621
124	0.977364	0.766860
125	1.022306	0.783966
126	0.984535	0.771842
127	0.968112	0.747229
128	1.001541	0.748380
129	0.995698	0.745161
130	1.011689	0.753872
131	1.028084	0.775043
132	1.003415	0.777690
133	0.997222	0.775529
134	1.005491	0.779788
135	0.998315	0.778474
136	1.007303	0.784159
137	1.006489	0.789247
138	0.969789	0.765403
139	0.980185	0.750237
140	1.049154	0.787114
141	0.981938	0.772897
142	1.012917	0.782880
143	1.001497	0.784053
144	1.005817	0.788613
145	0.995956	0.785424
146	0.998164	0.783982
147	0.999479	0.783574
148	0.991372	0.776813
149	1.011229	0.785536
150	0.987556	0.775760
151	1.000983	0.776523
152	1.014285	0.787616
153	0.986781	0.777204
154	1.003065	0.779586
155	0.980262	0.764199
156	1.016146	0.776537
157	0.980707	0.761555
158	1.002382	0.763369
159	0.994643	0.759280
160	1.024659	0.778003
161	0.997773	0.776271
162	1.007628	0.782192
163	0.992250	0.776130
164	1.002191	0.777831
165	0.986670	0.767463
166	0.977768	0.750400
167	1.001932	0.751850
168	1.004450	0.755196
169	0.967039	0.730304
170	0.971488	0.709481
171	0.967784	0.686624
