Running strategy ubah on dataset djia.
Start Time: 2015-0129-17-01-35-512.
-------------------------------------
Parameters [tc: 0.000000].
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.973160	0.975705
3	0.994691	0.970525
4	0.999079	0.969631
5	1.005858	0.975310
6	1.001297	0.976575
7	0.993368	0.970098
8	1.012162	0.981897
9	0.995835	0.977808
10	1.007167	0.984816
11	0.990864	0.975818
12	0.998188	0.974051
13	1.006559	0.980440
14	1.002688	0.983075
15	1.003919	0.986927
16	0.992802	0.979824
17	1.007807	0.987474
18	1.017121	1.004380
19	0.999011	1.003386
20	1.009867	1.013287
21	0.987517	1.000639
22	1.009027	1.009672
23	0.999560	1.009227
24	0.996482	1.005677
25	0.993453	0.999092
26	0.989107	0.988209
27	1.014729	1.002765
28	0.994732	0.997482
29	0.990578	0.988084
30	1.011899	0.999840
31	0.988582	0.988425
32	0.989896	0.978438
33	0.979926	0.958797
34	1.001776	0.960500
35	0.992795	0.953579
36	1.022193	0.974742
37	1.000208	0.974944
38	0.986284	0.961571
39	0.994152	0.955948
40	1.001838	0.957705
41	1.011076	0.968312
42	1.005661	0.973794
43	1.015552	0.988939
44	1.009389	0.998224
45	0.978434	0.976697
46	0.956990	0.934689
47	1.012799	0.946652
48	0.967150	0.915555
49	1.005923	0.920977
50	0.980969	0.903450
51	1.014193	0.916273
52	0.974591	0.892991
53	0.977025	0.872475
54	0.990228	0.863949
55	1.012955	0.875142
56	1.019761	0.892435
57	1.028338	0.917725
58	0.980370	0.899710
59	1.002243	0.901729
60	1.006464	0.907557
61	0.989167	0.897726
62	0.967981	0.868981
63	1.002377	0.871047
64	1.045422	0.910611
65	0.982957	0.895092
66	1.006017	0.900478
67	1.029685	0.927208
68	0.993439	0.921125
69	1.011800	0.931994
70	1.001005	0.932931
71	1.004318	0.936959
72	1.042086	0.976393
73	1.007942	0.984147
74	0.990719	0.975013
75	0.991464	0.966690
76	0.990406	0.957416
77	1.017057	0.973748
78	1.007182	0.980741
79	1.010418	0.990958
80	0.992221	0.983249
81	1.016442	0.999416
82	0.999279	0.998695
83	0.990512	0.989219
84	1.014008	1.003076
85	0.999030	1.002103
86	0.994540	0.996632
87	0.996794	0.993436
88	1.005097	0.998500
89	0.992006	0.990517
90	1.003673	0.994155
91	0.999791	0.993947
92	1.032278	1.026030
93	1.005324	1.031493
94	1.004252	1.035879
95	1.005210	1.041275
96	0.993215	1.034210
97	0.985158	1.018860
98	1.002346	1.021251
99	0.989547	1.010576
100	1.003082	1.013690
101	0.983454	0.996918
102	1.004708	1.001612
103	1.007451	1.009075
104	1.004976	1.014096
105	1.009709	1.023941
106	0.989957	1.013657
107	1.002448	1.016139
108	0.990057	1.006036
109	0.993877	0.999876
110	1.000080	0.999956
111	0.991437	0.991393
112	0.981493	0.973045
113	0.994976	0.968156
114	0.999124	0.967308
115	0.995247	0.962710
116	1.007966	0.970380
117	1.010437	0.980507
118	0.989389	0.970103
119	0.990289	0.960682
120	0.996157	0.956990
121	0.996758	0.953887
122	1.014581	0.967796
123	0.996701	0.964603
124	1.008681	0.972976
125	0.996687	0.969753
126	0.991028	0.961052
127	0.977830	0.939746
128	1.008742	0.947961
129	0.991801	0.940189
130	1.006419	0.946224
131	1.025889	0.970721
132	1.005732	0.976285
133	0.991288	0.967780
134	1.012274	0.979659
135	0.997051	0.976770
136	1.004468	0.981134
137	0.996740	0.977936
138	0.984278	0.962561
139	0.981871	0.945111
140	1.016905	0.961088
141	1.004264	0.965185
142	0.995598	0.960937
143	0.998445	0.959443
144	1.011111	0.970103
145	0.999233	0.969359
146	1.004371	0.973596
147	0.995678	0.969389
148	0.989510	0.959219
149	1.004823	0.963845
150	0.984006	0.948429
151	1.000314	0.948727
152	1.010483	0.958672
153	1.000272	0.958932
154	0.999792	0.958733
155	0.993374	0.952380
156	1.003960	0.956152
157	0.984908	0.941722
158	1.008650	0.949867
159	0.986264	0.936820
160	1.009190	0.945429
161	0.996446	0.942069
162	1.019366	0.960312
163	0.995492	0.955983
164	0.985403	0.942029
165	0.988150	0.930866
166	0.983474	0.915483
