Running strategy ucrp on dataset djia.
Start Time: 2015-0129-17-01-35-572.
-------------------------------------
Parameters [tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.973508	0.976054
3	0.994880	0.971056
4	0.998755	0.969848
5	1.005777	0.975450
6	1.001531	0.976944
7	0.993428	0.970523
8	1.012676	0.982825
9	0.995659	0.978559
10	1.006861	0.985273
11	0.989647	0.975073
12	0.999250	0.974342
13	1.007193	0.981350
14	1.001757	0.983075
15	1.004796	0.987790
16	0.992088	0.979974
17	1.007486	0.987310
18	1.017563	1.004650
19	1.000693	1.005346
20	1.009320	1.014716
21	0.988579	1.003127
22	1.008870	1.012024
23	0.999270	1.011286
24	0.996135	1.007377
25	0.993917	1.001250
26	0.989707	0.990944
27	1.015362	1.006167
28	0.995203	1.001340
29	0.990471	0.991799
30	1.011928	1.003629
31	0.989246	0.992836
32	0.990555	0.983458
33	0.979264	0.963065
34	1.001592	0.964599
35	0.993143	0.957985
36	1.022529	0.979567
37	0.999944	0.979513
38	0.986241	0.966035
39	0.993724	0.959972
40	1.002654	0.962521
41	1.010423	0.972553
42	1.005613	0.978013
43	1.015494	0.993166
44	1.010305	1.003401
45	0.978579	0.981907
46	0.957083	0.939767
47	1.013262	0.952230
48	0.966991	0.920797
49	1.006357	0.926651
50	0.980638	0.908710
51	1.014532	0.921915
52	0.974449	0.898359
53	0.977187	0.877865
54	0.990761	0.869755
55	1.013901	0.881845
56	1.019891	0.899386
57	1.028637	0.925141
58	0.981348	0.907885
59	1.002093	0.909786
60	1.007651	0.916747
61	0.989111	0.906765
62	0.968335	0.878052
63	1.001279	0.879175
64	1.045640	0.919301
65	0.982471	0.903187
66	1.005276	0.907952
67	1.029769	0.934980
68	0.994751	0.930072
69	1.011850	0.941093
70	1.000869	0.941911
71	1.004482	0.946132
72	1.043659	0.987440
73	1.007267	0.994615
74	0.989384	0.984056
75	0.991672	0.975861
76	0.990254	0.966350
77	1.016591	0.982383
78	1.007104	0.989362
79	1.011923	1.001158
80	0.992217	0.993366
81	1.016365	1.009623
82	1.000031	1.009654
83	0.990261	0.999821
84	1.013371	1.013190
85	0.998988	1.012164
86	0.993893	1.005983
87	0.997028	1.002993
88	1.005184	1.008193
89	0.992417	1.000548
90	1.003945	1.004495
91	0.999196	1.003688
92	1.032767	1.036576
93	1.006914	1.043743
94	1.004009	1.047927
95	1.005836	1.054043
96	0.993552	1.047246
97	0.985073	1.031613
98	1.002263	1.033947
99	0.989171	1.022751
100	1.003119	1.025941
101	0.983747	1.009266
102	1.004601	1.013909
103	1.007356	1.021368
104	1.004639	1.026106
105	1.009284	1.035633
106	0.989855	1.025126
107	1.002562	1.027752
108	0.989972	1.017446
109	0.994155	1.011499
110	1.000507	1.012012
111	0.991866	1.003780
112	0.980829	0.984537
113	0.995106	0.979719
114	0.999257	0.978991
115	0.995128	0.974221
116	1.007648	0.981672
117	1.009576	0.991072
118	0.989386	0.980553
119	0.991106	0.971832
120	0.996041	0.967984
121	0.996575	0.964669
122	1.014505	0.978662
123	0.995853	0.974603
124	1.009530	0.983891
125	0.997622	0.981551
126	0.991676	0.973380
127	0.978062	0.952026
128	1.008309	0.959936
129	0.990417	0.950737
130	1.006677	0.957085
131	1.024699	0.980723
132	1.006908	0.987498
133	0.991667	0.979269
134	1.012743	0.991749
135	0.997603	0.989372
136	1.004452	0.993776
137	0.997172	0.990966
138	0.985030	0.976132
139	0.982789	0.959332
140	1.016910	0.975554
141	1.003990	0.979446
142	0.996758	0.976270
143	0.998238	0.974550
144	1.011335	0.985596
145	1.000028	0.985624
146	1.003900	0.989468
147	0.995761	0.985274
148	0.989737	0.975162
149	1.005230	0.980262
150	0.984551	0.965118
151	1.000276	0.965385
152	1.010431	0.975455
153	0.999677	0.975140
154	0.999906	0.975048
155	0.993753	0.968958
