Running strategy up on dataset djia.
Start Time: 2015-0129-17-01-36-364.
-------------------------------------
Parameters [tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.973462	0.976008
3	0.994709	0.970845
4	0.998603	0.969489
5	1.005859	0.975169
6	1.001632	0.976761
7	0.993694	0.970602
8	1.012630	0.982861
9	0.995643	0.978579
10	1.006811	0.985244
11	0.989428	0.974828
12	0.998857	0.973714
13	1.007245	0.980768
14	1.001736	0.982471
15	1.004677	0.987067
16	0.992272	0.979439
17	1.007547	0.986830
18	1.017430	1.004031
19	1.000696	1.004730
20	1.009227	1.014001
21	0.988561	1.002402
22	1.008847	1.011270
23	0.999238	1.010500
24	0.995996	1.006454
25	0.993822	1.000235
26	0.989631	0.989864
27	1.015528	1.005234
28	0.995207	1.000417
29	0.990438	0.990851
30	1.012218	1.002957
31	0.989434	0.992360
32	0.990530	0.982962
33	0.979095	0.962414
34	1.001707	0.964056
35	0.993082	0.957387
36	1.022447	0.978878
37	0.999900	0.978780
38	0.986097	0.965172
39	0.993671	0.959063
40	1.002707	0.961660
41	1.010369	0.971631
42	1.005716	0.977185
43	1.015449	0.992282
44	1.010346	1.002549
45	0.978483	0.980976
46	0.957090	0.938883
47	1.013356	0.951422
48	0.967120	0.920140
49	1.006342	0.925976
50	0.980340	0.907771
51	1.014571	0.920999
52	0.974425	0.897444
53	0.977173	0.876959
54	0.990806	0.868896
55	1.013967	0.881032
56	1.019894	0.898559
57	1.028516	0.924182
58	0.981236	0.906841
59	1.002030	0.908681
60	1.007564	0.915554
61	0.989130	0.905603
62	0.968400	0.876985
63	1.001214	0.878050
64	1.045896	0.918350
65	0.982333	0.902125
66	1.005382	0.906981
67	1.029748	0.933962
68	0.994636	0.928952
69	1.011853	0.939964
70	1.000805	0.940720
71	1.004547	0.944997
72	1.043868	0.986452
73	1.007282	0.993635
74	0.989416	0.983119
75	0.991753	0.975011
76	0.990160	0.965417
77	1.016560	0.981405
78	1.007100	0.988373
79	1.011920	1.000155
80	0.992151	0.992305
81	1.016487	1.008665
82	0.999993	1.008658
83	0.990200	0.998773
84	1.013394	1.012150
85	0.999082	1.011222
86	0.993827	1.004979
87	0.997020	1.001985
88	1.005214	1.007209
89	0.992501	0.999656
90	1.003886	1.003540
91	0.999094	1.002630
92	1.032843	1.035560
93	1.006933	1.042740
94	1.003896	1.046803
95	1.005775	1.052848
96	0.993385	1.045883
97	0.985136	1.030337
98	1.002341	1.032749
99	0.989225	1.021621
100	1.003168	1.024858
101	0.983742	1.008195
102	1.004655	1.012889
103	1.007355	1.020338
104	1.004667	1.025100
105	1.009231	1.034562
106	0.989927	1.024141
107	1.002544	1.026747
108	0.989948	1.016427
109	0.994157	1.010488
110	1.000486	1.010978
111	0.991885	1.002774
112	0.980994	0.983716
113	0.995311	0.979103
114	0.999204	0.978323
115	0.995076	0.973506
116	1.007701	0.981002
117	1.009652	0.990471
118	0.989368	0.979941
119	0.991122	0.971241
120	0.995986	0.967342
121	0.996528	0.963983
122	1.014469	0.977931
123	0.995817	0.973841
124	1.009479	0.983072
125	0.997604	0.980716
126	0.991646	0.972523
127	0.978040	0.951166
128	1.008333	0.959092
129	0.990446	0.949929
130	1.006556	0.956157
131	1.024520	0.979602
132	1.006824	0.986287
133	0.991433	0.977837
134	1.012721	0.990277
135	0.997662	0.987961
136	1.004452	0.992360
137	0.997193	0.989574
138	0.985075	0.974805
139	0.982665	0.957907
140	1.016938	0.974132
141	1.003991	0.978020
142	0.996781	0.974871
143	0.998196	0.973112
144	1.011206	0.984017
145	1.000047	0.984063
146	1.003963	0.987963
147	0.995740	0.983754
148	0.989765	0.973685
149	1.005335	0.978880
150	0.984582	0.963787
151	1.000266	0.964044
152	1.010480	0.974147
153	0.999649	0.973805
154	0.999913	0.973720
155	0.993614	0.967502
156	1.003914	0.971289
157	0.985046	0.956764
158	1.009440	0.965795
159	0.985981	0.952255
160	1.009250	0.961063
161	0.996715	0.957906
162	1.019359	0.976450
163	0.995432	0.971990
164	0.984818	0.957233
165	0.988021	0.945766
166	0.983770	0.930417
167	1.004977	0.935048
168	1.000724	0.935725
169	1.002587	0.938146
170	0.978860	0.918314
171	0.977119	0.897302
172	0.997430	0.894995
173	0.923726	0.826730
174	0.995594	0.823087
175	0.981045	0.807485
176	0.951604	0.768406
177	0.988215	0.759351
178	1.049012	0.796568
179	1.007138	0.802254
180	0.988598	0.793107
181	1.013369	0.803709
182	1.020445	0.820141
183	0.996772	0.817494
184	1.013226	0.828306
185	1.023014	0.847369
186	0.992181	0.840743
187	1.005347	0.845238
188	0.994148	0.840292
189	1.000242	0.840496
190	1.022995	0.859823
191	1.021130	0.877991
192	0.993009	0.871853
193	0.996825	0.869085
194	1.005258	0.873655
195	0.981844	0.857792
196	0.991322	0.850349
197	1.003953	0.853710
198	1.017026	0.868245
199	0.994891	0.863809
200	0.997828	0.861933
201	1.012764	0.872935
202	1.008222	0.880112
203	0.970280	0.853955
204	0.980577	0.837369
205	0.995268	0.833406
206	1.021084	0.850978
207	1.006319	0.856355
208	1.013287	0.867734
209	1.018846	0.884087
210	0.995342	0.879969
211	1.003774	0.883290
212	1.001965	0.885026
213	0.993627	0.879386
214	1.022654	0.899307
215	1.011753	0.909877
216	1.008115	0.917260
217	0.999648	0.916938
218	1.012038	0.927975
219	0.991147	0.919760
220	0.992811	0.913148
221	1.013683	0.925642
222	1.003021	0.928439
223	0.988903	0.918136
224	0.983934	0.903386
225	1.011928	0.914161
226	1.003264	0.917145
227	0.990369	0.908312
228	1.013738	0.920790
229	1.024179	0.943054
230	1.000703	0.943717
231	0.993690	0.937762
232	0.986143	0.924767
233	0.996129	0.921187
234	0.998611	0.919908
235	0.985275	0.906362
236	1.004011	0.909998
237	1.008393	0.917635
238	1.009502	0.926354
239	1.006015	0.931926
240	0.993501	0.925870
241	1.005880	0.931314
242	1.000004	0.931318
243	1.004497	0.935507
244	1.004887	0.940078
245	1.002000	0.941958
246	0.989050	0.931644
247	1.007986	0.939084
248	1.012346	0.950678
249	1.010225	0.960398
250	0.995338	0.955921
251	0.995226	0.951358
252	0.993587	0.945256
253	0.998955	0.944268
254	0.990945	0.935717
255	0.989380	0.925780
256	1.004009	0.929491
257	0.975361	0.906589
258	1.016730	0.921757
259	0.993309	0.915590
260	0.994567	0.910615
261	1.004386	0.914608
262	1.008323	0.922220
263	1.004217	0.926110
264	1.003084	0.928965
265	0.973907	0.904726
266	1.015496	0.918746
267	1.015148	0.932663
268	0.996602	0.929494
269	0.976263	0.907431
270	1.000135	0.907553
271	0.994210	0.902299
272	1.000402	0.902661
273	1.012368	0.913826
274	1.013880	0.926509
275	0.996560	0.923322
276	1.012582	0.934940
277	1.001597	0.936433
